,estimator,min_score,mean_score,max_score,std_score,C,algorithm,alpha,criterion,gamma,hidden_layer_sizes,kernel,learning_rate,max_depth,n_estimators,n_neighbors,solver,splitter,weights
2022,extra_tree,0.7448979591836735,0.7908163265306123,0.8622448979591837,0.03912303982179757,,,,entropy,,,,,,41,,,,
1932,extra_tree,0.7448979591836735,0.7918367346938776,0.8469387755102041,0.035845240959694484,,,,gini,,,,,,53,,,,
1967,extra_tree,0.7448979591836735,0.7857142857142858,0.8469387755102041,0.03636434628817442,,,,gini,,,,,,158,,,,
2061,extra_tree,0.75,0.7877551020408163,0.8469387755102041,0.033935283976154904,,,,entropy,,,,,,158,,,,
1972,extra_tree,0.7653061224489796,0.7928571428571429,0.8418367346938775,0.02805658588748475,,,,gini,,,,,,173,,,,
2082,extra_tree,0.75,0.786734693877551,0.8418367346938775,0.031185115897828825,,,,entropy,,,,,,221,,,,
2088,extra_tree,0.75,0.7857142857142858,0.8418367346938775,0.03290717448285123,,,,entropy,,,,,,239,,,,
1988,extra_tree,0.7448979591836735,0.7846938775510205,0.8418367346938775,0.03344075430239578,,,,gini,,,,,,221,,,,
2060,extra_tree,0.7397959183673469,0.7816326530612245,0.8418367346938775,0.033596076802355775,,,,entropy,,,,,,155,,,,
2095,extra_tree,0.7397959183673469,0.7877551020408163,0.8418367346938775,0.03659269607559411,,,,entropy,,,,,,260,,,,
2070,extra_tree,0.7397959183673469,0.7795918367346939,0.8418367346938775,0.03451333576589339,,,,entropy,,,,,,185,,,,
1954,extra_tree,0.75,0.7836734693877552,0.8418367346938775,0.033315974933294926,,,,gini,,,,,,119,,,,
1989,extra_tree,0.7448979591836735,0.7857142857142858,0.8367346938775511,0.03044170181668632,,,,gini,,,,,,224,,,,
1984,extra_tree,0.7653061224489796,0.7877551020408162,0.8367346938775511,0.025530604088156758,,,,gini,,,,,,209,,,,
1937,extra_tree,0.7346938775510204,0.7836734693877552,0.8367346938775511,0.036876144897127865,,,,gini,,,,,,68,,,,
2058,extra_tree,0.7602040816326531,0.7948979591836735,0.8367346938775511,0.02911294411772879,,,,entropy,,,,,,149,,,,
1975,extra_tree,0.7551020408163265,0.7918367346938775,0.8367346938775511,0.029291224682463958,,,,gini,,,,,,182,,,,
1779,random_forest,0.7244897959183674,0.7704081632653061,0.8367346938775511,0.037906480859197365,,,,gini,,,,,,158,,,,
